protein,sweeps,seed,endE,wall_s
2LZM,2,3,1599.3400,0.004
2LZM,5,1,1599.3400,0.005
2LZM,5,2,1599.3400,0.005
2LZM,5,3,1599.3400,0.005
2LZM,10,1,1599.3400,0.008
2LZM,10,2,1599.3400,0.008
2LZM,10,3,1598.2300,0.008
2LZM,20,1,1599.3400,0.013
2LZM,20,2,1591.0300,0.014
2LZM,20,3,1592.9800,0.013
2LZM,50,1,1515.1900,0.029
2LZM,50,2,1589.2100,0.029
2LZM,50,3,1515.5200,0.030
2LZM,100,1,1486.6600,0.056
2LZM,100,2,1565.3700,0.056
2LZM,100,3,1176.6200,0.057
2LZM,200,1,1243.7700,0.109
2LZM,200,2,1403.0500,0.109
2LZM,200,3,933.2120,0.111
2LZM,500,1,801.9150,0.269
2LZM,500,2,1024.9500,0.267
2LZM,500,3,810.9930,0.274
2LZM,1000,1,617.6600,0.532
2LZM,1000,2,654.3590,0.531
2LZM,1000,3,660.4860,0.534
2LZM,2000,1,416.5500,1.063
2LZM,2000,2,505.0100,1.057
2LZM,2000,3,516.5380,1.063
2LZM,4000,1,252.0900,2.126
2LZM,4000,2,264.1210,2.109
2LZM,4000,3,275.5480,2.114
2LZM,8000,1,135.0420,4.201
2LZM,8000,2,147.0240,4.208
2LZM,8000,3,151.2900,4.220
1AKE,1,1,5458.7500,0.008
1AKE,1,2,5458.7500,0.007
1AKE,1,3,5458.7500,0.007
1AKE,2,1,5456.5800,0.009
1AKE,2,2,5457.4600,0.009
1AKE,2,3,5458.7500,0.008
1AKE,5,1,5454.0300,0.012
1AKE,5,2,5457.4600,0.012
1AKE,5,3,5458.7500,0.012
1AKE,10,1,5441.0100,0.019
1AKE,10,2,5457.3000,0.019
1AKE,10,3,3621.6300,0.018
1AKE,20,1,5439.7900,0.030
1AKE,20,2,5444.0200,0.031
1AKE,20,3,3621.6000,0.030
1AKE,50,1,5439.0500,0.066
1AKE,50,2,5413.8600,0.065
1AKE,50,3,3619.0500,0.064
1AKE,100,1,5026.1900,0.121
1AKE,100,2,5411.4600,0.123
1AKE,100,3,3617.8000,0.122
1AKE,200,1,3000.3300,0.238
1AKE,200,2,3626.9700,0.239
1AKE,200,3,3405.2800,0.238
1AKE,500,1,2584.8000,0.583
1AKE,500,2,1277.8500,0.584
1AKE,500,3,1020.8600,0.577
1AKE,1000,1,2411.3900,1.162
1AKE,1000,2,806.1590,1.159
1AKE,1000,3,793.2090,1.153
1AKE,2000,1,1870.8100,2.302
1AKE,2000,2,397.6700,2.306
1AKE,2000,3,291.5380,2.307
1AKE,4000,1,1509.9500,4.571
1AKE,4000,2,-10.0634,4.584
1AKE,4000,3,-0.4556,4.573
1AKE,8000,1,-383.3530,9.126
1AKE,8000,2,-317.5500,9.124
1AKE,8000,3,-386.3060,9.139
